Player,Age,Position,Team,Matches,Minutes,Goals,Assists,xG,xAG,Shots,Shots_on_Target
Max Aarons,24,DF,Bournemouth,3,86,0,0,0,0,0,0
Max Aarons,24,"DF,MF",Valencia,4,120,0,0,0,0,0,0
Rodrigo Abajas,21,DF,Valencia,1,65,0,0,0.1,0,1,0
James Abankwah,20,"DF,MF",Udinese,6,88,0,0,0.1,0,1,0
Keyliane Abdallah,18,FW,Marseille,1,3,0,0,0,0,0,0
Yunis Abdelhamid,36,DF,Saint-Étienne,16,1033,0,0,0.2,0.1,2,1
Himad Abdelli,24,"MF,FW",Angers,32,2842,6,1,6.4,3.2,35,8
Mohamed Abdelmoneim,25,DF,Nice,12,855,0,0,0,0,0,0
Ali Abdi,30,"DF,MF",Nice,25,1393,5,2,4.3,1.9,29,11
Saud Abdulhamid,25,DF,Roma,4,205,0,1,0,0.2,1,0
Abel,23,DF,Osasuna,35,2074,2,0,0.5,1,12,4
Nabil Aberdin,21,MF,Getafe,7,263,0,0,0,0,2,0
Oliver Abildgaard,28,MF,Como,1,7,0,0,0,0,0,0
Matthis Abline,21,FW,Nantes,34,2768,9,2,8.5,3.8,73,26
Abner,24,DF,Lyon,19,1090,1,1,0.6,1.1,7,3
Zakaria Aboukhlal,24,"MF,FW",Toulouse,26,1901,7,2,10.2,1.6,62,26
Abdel Abqar,25,DF,Alavés,29,2463,0,1,0.9,0.3,12,1
Tammy Abraham,26,FW,Roma,1,1,0,0,0,0,0,0
Tammy Abraham,26,FW,Milan,28,1183,3,4,7.1,2.2,26,11
Federico Accornero,20,MF,Genoa,1,5,0,0,0,0,0,0
Francesco Acerbi,36,DF,Inter,23,1710,0,1,0.4,0.6,5,1
Joshua Acheampong,18,DF,Chelsea,4,170,0,0,0.2,0,2,0
Akor Adams,24,FW,Sevilla,4,134,0,0,0.4,0,2,1
Akor Adams,24,FW,Montpellier,15,1075,3,1,4.3,1,26,12
Che Adams,28,FW,Torino,36,2652,9,3,9,2,63,25
Tyler Adams,25,MF,Bournemouth,28,1965,0,3,1.6,1,9,2
Junior Adamu,23,FW,Freiburg,25,1545,2,2,5.5,2.4,36,11
Tosin Adarabioyo,26,DF,Chelsea,22,1409,1,1,0.9,0.2,13,2
Martin Adeline,20,MF,Reims,1,26,0,0,0,0,0,0
Karim Adeyemi,22,"FW,MF",Dortmund,25,1433,7,6,5.5,6,46,18
Simon Adingra,22,"FW,MF",Brighton,29,1097,2,2,2.5,2.5,33,8
Amine Adli,24,"MF,FW",Leverkusen,20,766,2,0,2.7,0.7,20,7
Yacine Adli,24,MF,Fiorentina,25,1219,4,6,1,2.4,14,5
Adrián,37,GK,Betis,19,1710,0,0,0,0,0,0
Adryelson,26,DF,Lyon,1,1,0,0,0,0,0,0
Vasilije Adžić,18,"MF,FW",Juventus,6,42,0,0,0,0,1,1
Michel Aebischer,27,MF,Bologna,14,724,0,0,0.4,0.4,10,5
Oladapo Afolayan,26,"FW,MF",St. Pauli,32,1639,3,1,3.1,3.8,38,13
Emmanuel Agbadou,27,DF,Wolves,16,1410,1,0,0.8,0.2,7,2
Emmanuel Agbadou,27,DF,Reims,14,1260,0,0,0.5,0.3,15,3
Asher Agbinone,18,MF,Crystal Palace,2,6,0,0,0,0,1,0
Jeremy Agbonifo,18,"FW,MF",Lens,8,300,1,0,0.7,0.2,6,4
Julen Agirrezabala,23,GK,Athletic Club,14,1206,0,0,0,0,0,0
Lucien Agoume,22,MF,Sevilla,35,2114,1,3,0.9,2.5,10,2
Felix Agu,24,DF,Werder Bremen,22,1751,3,0,1.4,1.8,9,4
Álvaro Aguado,28,MF,Espanyol,16,443,0,1,0.6,0.6,10,1
Lorenzo Aguado,21,DF,Real Madrid,2,5,0,0,0,0,0,0
Nayef Aguerd,28,DF,Real Sociedad,21,1760,0,0,2.4,0.1,15,5
Ruben Aguilar,31,"DF,MF",Lens,16,1124,1,2,0.8,1.9,11,3
Naouirou Ahamada,22,"MF,FW",Rennes,3,58,0,0,0,0,1,0
Honest Ahanor,16,"DF,MF",Genoa,6,270,0,0,0.5,0.1,3,1
Erik Ahlstrand,22,"FW,MF",St. Pauli,5,43,0,0,0,0,0,0
Jean-Eudes Aholou,30,MF,Angers,26,1959,2,0,1.8,1,27,7
Joseph Aidoo,28,DF,Valladolid,8,583,0,0,0,0,1,0
Joseph Aidoo,28,DF,Celta Vigo,1,2,0,0,0,0,0,0
Ayman Aiki,19,"FW,MF",Saint-Étienne,5,127,0,0,0.1,0,3,1
Ola Aina,27,DF,Nott'ham Forest,35,2995,2,1,0.6,1.4,11,2
Rayan Aït-Nouri,23,DF,Wolves,37,3109,4,7,2.7,5.5,36,10
Junior Ajayi,19,FW,Hellas Verona,2,13,0,0,0,0,0,0
Kristoffer Ajer,26,DF,Brentford,24,1438,0,0,1,1.2,9,3
Ludovic Ajorque,30,FW,Brest,31,2495,13,2,10.4,3.1,53,25
Manuel Akanji,29,DF,Manchester City,26,2014,0,0,1.6,0.4,15,2
Ümit Akdag,20,DF,Toulouse,9,500,0,0,0.1,0.1,2,0
Nathan Aké,29,DF,Manchester City,10,678,0,0,0.2,0,3,0
Ilias Akhomach,20,"MF,FW",Villarreal,11,584,1,0,0.6,1,17,6
Sergio Akieme,26,DF,Reims,30,2523,2,3,1.5,2.5,26,7
Maghnes Akliouche,22,"FW,MF",Monaco,32,2406,5,10,9.2,7.3,61,17
Paul Akouokou,26,MF,Lyon,2,19,0,0,0,0,0,0
Clément Akpa,22,DF,Auxerre,31,2486,0,1,0.3,0.9,6,1
Jean-Daniel Akpa-Akpro,31,MF,Monza,14,966,0,0,0.3,0.2,4,2
David Akpan Ankeye,22,"FW,MF",Genoa,4,45,0,0,0,0,0,0
Kevin Akpoguma,29,DF,Hoffenheim,32,2220,0,0,0.1,0.3,5,1
Chuba Akpom,28,FW,Lille,14,639,3,1,5,0.5,18,9
David Alaba,32,DF,Real Madrid,7,317,0,0,0,0.1,0,0
Ibrahim Alani,18,MF,Valladolid,3,160,0,0,0,0,1,0
Andreas Albers,34,FW,St. Pauli,14,62,1,0,0.6,0.1,3,1
Raúl Albiol,38,DF,Villarreal,15,1188,0,0,0.1,0,2,0
Carlos Alcaraz,21,MF,Southampton,1,10,0,0,0.1,0.1,1,1
Carlos Alcaraz,21,"FW,MF",Everton,15,764,2,3,1.7,1.6,26,11
Omar Alderete,27,DF,Getafe,34,2971,1,0,1.7,0.9,38,10
Carles Aleñá,26,"MF,FW",Getafe,10,452,0,0,0.9,0.1,5,1
Carles Aleñá,26,"MF,FW",Alavés,14,1090,0,2,0.7,1.3,15,4
Ben Alexander Voll,23,GK,St. Pauli,2,91,0,0,0,0.1,0,0
Trent Alexander-Arnold,25,DF,Liverpool,33,2365,3,6,1.9,7.3,45,8
Alfon,25,"FW,MF",Celta Vigo,26,1371,5,2,4.6,2.6,46,19
Mohamed Ali Cho,20,"FW,MF",Nice,27,1621,3,4,4,4,36,15
Faride Alidou,23,"FW,MF",Hellas Verona,3,71,0,0,0,0,1,0
Alisson,31,GK,Liverpool,28,2508,0,0,0,0.6,0,0
Tadeo Allende,25,FW,Celta Vigo,1,2,0,0,0,0,0,0
Jim Allevinah,29,FW,Angers,28,1750,1,3,4.2,2.5,35,10
Dele Alli,28,MF,Como,1,9,0,0,0,0,0,0
Thiago Almada,23,"MF,FW",Lyon,16,951,1,4,2,2.6,23,5
Domingos André Ribeiro Almeida,24,"MF,FW",Valencia,34,1977,0,4,1.2,3.2,18,5
Iker Almena,20,"FW,DF",Girona,2,48,0,1,0,0.7,1,0
Miguel Almirón,30,FW,Newcastle Utd,9,157,0,0,0.5,0.3,6,2
Pontus Almqvist,25,"FW,MF",Parma,29,1112,1,1,2.1,1.3,26,9
Marcos Alonso,33,DF,Celta Vigo,31,2647,3,0,4,1.3,31,10
Giorgio Altare,25,DF,Venezia,12,753,0,0,0.2,0.1,3,1
Adrià Altimira,23,"DF,FW",Leganés,22,1630,0,0,0.3,0.5,7,2
Sergi Altimira,22,MF,Betis,32,1972,0,1,1.7,1.7,21,4
Olabade Aluko,,DF,Leicester City,1,2,0,0,0,0,0,0
Edson Álvarez,26,MF,West Ham,28,1772,0,1,0.4,0.8,12,1
Hugo Álvarez,21,"MF,DF",Celta Vigo,26,1572,4,3,2.5,1.1,25,9
Julián Álvarez,24,FW,Atlético Madrid,37,2509,17,4,14.1,5.3,70,36
Yeray Álvarez,29,DF,Athletic Club,21,1781,1,0,0.5,0.2,9,2
Skelly Alvero,22,MF,Werder Bremen,12,236,0,0,0,0,1,0
Will Alves,19,FW,Leicester City,1,1,0,0,0,0,0,0
Selim Amallah,27,MF,Valladolid,24,1376,3,1,3.5,1.1,21,7
Harry Amass,17,DF,Manchester Utd,5,346,0,0,0.1,0,3,0
Amath,28,"FW,DF",Valladolid,13,375,0,1,0.4,0.5,5,1
Jordan Amavi,30,DF,Brest,11,790,0,0,0.3,0.2,8,3
Aurele Amenda,21,DF,Eint Frankfurt,8,96,0,0,0,0.3,0,0
Kelvin Amian,26,DF,Nantes,30,2165,1,0,1,0.8,7,4
Michael Amir Murillo,28,DF,Marseille,30,2437,1,3,1.5,3.3,13,4
Nadiem Amiri,27,MF,Mainz 05,30,2473,7,5,5.5,6.6,60,24
Samuel Amo-Ameyaw,18,"FW,DF",Southampton,2,28,0,0,0,0.1,1,0
